year,level_1,level_2,value
1976,Total Male Chinese,55 - 59 Years,24300
1976,Total Male Chinese,60 - 64 Years,22400
1976,Total Male Chinese,65 - 69 Years,17700
1976,Total Male Chinese,70 - 74 Years,na
1976,Total Male Chinese,75 - 79 Years,na
1976,Total Male Chinese,80 - 84 Years,na
1976,Total Male Chinese,65 Years & Over,36100
1976,Total Male Chinese,70 Years & Over,18400
1976,Total Male Chinese,75 Years & Over,na
1976,Total Male Chinese,80 Years & Over,na
1976,Total Male Chinese,85 Years & Over,na
1976,Total Female Chinese,0  -  4 Years,82100
1976,Total Female Chinese,5  -  9 Years,81600
1976,Total Female Chinese,10 - 14 Years,98800
1976,Total Female Chinese,15 - 19 Years,108700
1976,Total Female Chinese,20 - 24 Years,99100
1976,Total Female Chinese,25 - 29 Years,87100
1976,Total Female Chinese,30 - 34 Years,52100
1976,Total Female Chinese,35 - 39 Years,54300
1976,Total Female Chinese,40 - 44 Years,42600
1976,Total Female Chinese,45 - 49 Years,37200
1976,Total Female Chinese,50 - 54 Years,29200
1976,Total Female Chinese,55 - 59 Years,27200
1976,Total Female Chinese,60 - 64 Years,25100
1976,Total Female Chinese,65 - 69 Years,19800
1976,Total Female Chinese,70 - 74 Years,na
1976,Total Female Chinese,75 - 79 Years,na
1976,Total Female Chinese,80 - 84 Years,na
1976,Total Female Chinese,65 Years & Over,47700
1976,Total Female Chinese,70 Years & Over,27900
1976,Total Female Chinese,75 Years & Over,na
1976,Total Female Chinese,80 Years & Over,na
1976,Total Female Chinese,85 Years & Over,na
1976,Total Indians,0  -  4 Years,12400
1976,Total Indians,5  -  9 Years,14800
1976,Total Indians,10 - 14 Years,18700
1976,Total Indians,15 - 19 Years,19600
1976,Total Indians,20 - 24 Years,15800
1976,Total Indians,25 - 29 Years,12800
1976,Total Indians,30 - 34 Years,7700
1976,Total Indians,35 - 39 Years,8800
1976,Total Indians,40 - 44 Years,8600
1976,Total Indians,45 - 49 Years,9700
1976,Total Indians,50 - 54 Years,8400
1976,Total Indians,55 - 59 Years,6100
1976,Total Indians,60 - 64 Years,3700
1976,Total Indians,65 - 69 Years,2200
1976,Total Indians,70 - 74 Years,na
1976,Total Indians,75 - 79 Years,na
1976,Total Indians,80 - 84 Years,na
1976,Total Indians,65 Years & Over,4000
1976,Total Indians,70 Years & Over,1800
1976,Total Indians,75 Years & Over,na
1976,Total Indians,80 Years & Over,na
1976,Total Indians,85 Years & Over,na
1976,Total Male Indians,0  -  4 Years,6300
1976,Total Male Indians,5  -  9 Years,7600
1976,Total Male Indians,10 - 14 Years,9500
1976,Total Male Indians,15 - 19 Years,10600
1976,Total Male Indians,20 - 24 Years,8400
1976,Total Male Indians,25 - 29 Years,6700
1976,Total Male Indians,30 - 34 Years,4200
1976,Total Male Indians,35 - 39 Years,4700
1976,Total Male Indians,40 - 44 Years,5300
1976,Total Male Indians,45 - 49 Years,7100
1976,Total Male Indians,50 - 54 Years,6600
1976,Total Male Indians,55 - 59 Years,4900
1976,Total Male Indians,60 - 64 Years,2900
1976,Total Male Indians,65 - 69 Years,1700
1976,Total Male Indians,70 - 74 Years,na
1976,Total Male Indians,75 - 79 Years,na
1976,Total Male Indians,80 - 84 Years,na
1976,Total Male Indians,65 Years & Over,3000
1976,Total Male Indians,70 Years & Over,1300
1976,Total Male Indians,75 Years & Over,na
1976,Total Male Indians,80 Years & Over,na
1976,Total Male Indians,85 Years & Over,na
1976,Total Female Indians,0  -  4 Years,6100
1976,Total Female Indians,5  -  9 Years,7200
1976,Total Female Indians,10 - 14 Years,9200
1976,Total Female Indians,15 - 19 Years,9000
1976,Total Female Indians,20 - 24 Years,7400
1976,Total Female Indians,25 - 29 Years,6100
1976,Total Female Indians,30 - 34 Years,3500
1976,Total Female Indians,35 - 39 Years,4100
1976,Total Female Indians,40 - 44 Years,3300
1976,Total Female Indians,45 - 49 Years,2600
1976,Total Female Indians,50 - 54 Years,1800
1976,Total Female Indians,55 - 59 Years,1200
1976,Total Female Indians,60 - 64 Years,800
1976,Total Female Indians,65 - 69 Years,500
1976,Total Female Indians,70 - 74 Years,na
1976,Total Female Indians,75 - 79 Years,na
1976,Total Female Indians,80 - 84 Years,na
1976,Total Female Indians,65 Years & Over,1000
1976,Total Female Indians,70 Years & Over,500
1976,Total Female Indians,75 Years & Over,na
1976,Total Female Indians,80 Years & Over,na
1976,Total Female Indians,85 Years & Over,na
1976,Other Ethnic Groups (Total),0  -  4 Years,5400
1976,Other Ethnic Groups (Total),5  -  9 Years,4400
1976,Other Ethnic Groups (Total),10 - 14 Years,4000
1976,Other Ethnic Groups (Total),15 - 19 Years,4000
1976,Other Ethnic Groups (Total),20 - 24 Years,4000
1976,Other Ethnic Groups (Total),25 - 29 Years,5200
1976,Other Ethnic Groups (Total),30 - 34 Years,4200
1976,Other Ethnic Groups (Total),35 - 39 Years,3600
1976,Other Ethnic Groups (Total),40 - 44 Years,2900
1976,Other Ethnic Groups (Total),45 - 49 Years,2500
1976,Other Ethnic Groups (Total),50 - 54 Years,2000
1976,Other Ethnic Groups (Total),55 - 59 Years,1400
1976,Other Ethnic Groups (Total),60 - 64 Years,1000
1976,Other Ethnic Groups (Total),65 - 69 Years,500
1976,Other Ethnic Groups (Total),70 - 74 Years,na
1976,Other Ethnic Groups (Total),75 - 79 Years,na
1976,Other Ethnic Groups (Total),80 - 84 Years,na
1976,Other Ethnic Groups (Total),65 Years & Over,1400
1976,Other Ethnic Groups (Total),70 Years & Over,900
1976,Other Ethnic Groups (Total),75 Years & Over,na
1976,Other Ethnic Groups (Total),80 Years & Over,na
1976,Other Ethnic Groups (Total),85 Years & Over,na
1976,Other Ethnic Groups (Males),0  -  4 Years,2800
1976,Other Ethnic Groups (Males),5  -  9 Years,2200
1976,Other Ethnic Groups (Males),10 - 14 Years,2000
1976,Other Ethnic Groups (Males),15 - 19 Years,1900
1976,Other Ethnic Groups (Males),20 - 24 Years,1800
1976,Other Ethnic Groups (Males),25 - 29 Years,2600
1976,Other Ethnic Groups (Males),30 - 34 Years,2200
1976,Other Ethnic Groups (Males),35 - 39 Years,2000
1976,Other Ethnic Groups (Males),40 - 44 Years,1700
1976,Other Ethnic Groups (Males),45 - 49 Years,1400
1976,Other Ethnic Groups (Males),50 - 54 Years,1200
1976,Other Ethnic Groups (Males),55 - 59 Years,800
1976,Other Ethnic Groups (Males),60 - 64 Years,500
1976,Other Ethnic Groups (Males),65 - 69 Years,300
1976,Other Ethnic Groups (Males),70 - 74 Years,na
1976,Other Ethnic Groups (Males),75 - 79 Years,na
1976,Other Ethnic Groups (Males),80 - 84 Years,na
1976,Other Ethnic Groups (Males),65 Years & Over,700
1976,Other Ethnic Groups (Males),70 Years & Over,400
1976,Other Ethnic Groups (Males),75 Years & Over,na
1976,Other Ethnic Groups (Males),80 Years & Over,na
1976,Other Ethnic Groups (Males),85 Years & Over,na
1976,Other Ethnic Groups (Females),0  -  4 Years,2600
1976,Other Ethnic Groups (Females),5  -  9 Years,2200
1976,Other Ethnic Groups (Females),10 - 14 Years,2000
1976,Other Ethnic Groups (Females),15 - 19 Years,2100
1976,Other Ethnic Groups (Females),20 - 24 Years,2200
1976,Other Ethnic Groups (Females),25 - 29 Years,2600
1976,Other Ethnic Groups (Females),30 - 34 Years,2000
1976,Other Ethnic Groups (Females),35 - 39 Years,1600
1976,Other Ethnic Groups (Females),40 - 44 Years,1200
1976,Other Ethnic Groups (Females),45 - 49 Years,1100
1976,Other Ethnic Groups (Females),50 - 54 Years,800
1976,Other Ethnic Groups (Females),55 - 59 Years,600
1976,Other Ethnic Groups (Females),60 - 64 Years,500
1976,Other Ethnic Groups (Females),65 - 69 Years,200
1976,Other Ethnic Groups (Females),70 - 74 Years,na
1976,Other Ethnic Groups (Females),75 - 79 Years,na
1976,Other Ethnic Groups (Females),80 - 84 Years,na
1976,Other Ethnic Groups (Females),65 Years & Over,700
1976,Other Ethnic Groups (Females),70 Years & Over,500
1976,Other Ethnic Groups (Females),75 Years & Over,na
1976,Other Ethnic Groups (Females),80 Years & Over,na
1976,Other Ethnic Groups (Females),85 Years & Over,na
1977,Total Residents,0  -  4 Years,215100
1977,Total Residents,5  -  9 Years,224500
1977,Total Residents,10 - 14 Years,269700
1977,Total Residents,15 - 19 Years,296900
1977,Total Residents,20 - 24 Years,272000
1977,Total Residents,25 - 29 Years,229000
1977,Total Residents,30 - 34 Years,151200
1977,Total Residents,35 - 39 Years,142300
1977,Total Residents,40 - 44 Years,114700
1977,Total Residents,45 - 49 Years,102400
1977,Total Residents,50 - 54 Years,81100
1977,Total Residents,55 - 59 Years,68200
1977,Total Residents,60 - 64 Years,57100
1977,Total Residents,65 - 69 Years,46300
1977,Total Residents,70 - 74 Years,na
1977,Total Residents,75 - 79 Years,na
1977,Total Residents,80 - 84 Years,na
1977,Total Residents,65 Years & Over,101100
1977,Total Residents,70 Years & Over,54800
1977,Total Residents,75 Years & Over,na
1977,Total Residents,80 Years & Over,na
1977,Total Residents,85 Years & Over,na
1977,Total Male Residents,0  -  4 Years,111300
1977,Total Male Residents,5  -  9 Years,115700
1977,Total Male Residents,10 - 14 Years,138300
1977,Total Male Residents,15 - 19 Years,153800
1977,Total Male Residents,20 - 24 Years,139200
1977,Total Male Residents,25 - 29 Years,116500
1977,Total Male Residents,30 - 34 Years,76800
1977,Total Male Residents,35 - 39 Years,71400
1977,Total Male Residents,40 - 44 Years,58400
1977,Total Male Residents,45 - 49 Years,53200
1977,Total Male Residents,50 - 54 Years,43100
1977,Total Male Residents,55 - 59 Years,35400
1977,Total Male Residents,60 - 64 Years,28400
1977,Total Male Residents,65 - 69 Years,22800
1977,Total Male Residents,70 - 74 Years,na
1977,Total Male Residents,75 - 79 Years,na
1977,Total Male Residents,80 - 84 Years,na
1977,Total Male Residents,65 Years & Over,45800
1977,Total Male Residents,70 Years & Over,23000
1977,Total Male Residents,75 Years & Over,na
1977,Total Male Residents,80 Years & Over,na
1977,Total Male Residents,85 Years & Over,na
1977,Total Female Residents,0  -  4 Years,103800
1977,Total Female Residents,5  -  9 Years,108800
1977,Total Female Residents,10 - 14 Years,131400
1977,Total Female Residents,15 - 19 Years,143100
1977,Total Female Residents,20 - 24 Years,132800
1977,Total Female Residents,25 - 29 Years,112500
1977,Total Female Residents,30 - 34 Years,74400
1977,Total Female Residents,35 - 39 Years,70900
1977,Total Female Residents,40 - 44 Years,56300
1977,Total Female Residents,45 - 49 Years,49200
1977,Total Female Residents,50 - 54 Years,38000
1977,Total Female Residents,55 - 59 Years,32800
1977,Total Female Residents,60 - 64 Years,28700
1977,Total Female Residents,65 - 69 Years,23500
1977,Total Female Residents,70 - 74 Years,na
1977,Total Female Residents,75 - 79 Years,na
1977,Total Female Residents,80 - 84 Years,na
1977,Total Female Residents,65 Years & Over,55300
1977,Total Female Residents,70 Years & Over,31800
1977,Total Female Residents,75 Years & Over,na
1977,Total Female Residents,80 Years & Over,na
1977,Total Female Residents,85 Years & Over,na
1977,Total Malays,0  -  4 Years,32000
1977,Total Malays,5  -  9 Years,36900
1977,Total Malays,10 - 14 Years,50200
1977,Total Malays,15 - 19 Years,50700
1977,Total Malays,20 - 24 Years,40300
1977,Total Malays,25 - 29 Years,29400
1977,Total Malays,30 - 34 Years,18900
1977,Total Malays,35 - 39 Years,16900
1977,Total Malays,40 - 44 Years,16500
1977,Total Malays,45 - 49 Years,14400
1977,Total Malays,50 - 54 Years,12300
1977,Total Malays,55 - 59 Years,9100
1977,Total Malays,60 - 64 Years,5300
1977,Total Malays,65 - 69 Years,4100
1977,Total Malays,70 - 74 Years,na
1977,Total Malays,75 - 79 Years,na
1977,Total Malays,80 - 84 Years,na
1977,Total Malays,65 Years & Over,7800
1977,Total Malays,70 Years & Over,3700
1977,Total Malays,75 Years & Over,na
1977,Total Malays,80 Years & Over,na
1977,Total Malays,85 Years & Over,na
1977,Total Male Malays,0  -  4 Years,16600
1977,Total Male Malays,5  -  9 Years,18800
1977,Total Male Malays,10 - 14 Years,25600
1977,Total Male Malays,15 - 19 Years,26700
1977,Total Male Malays,20 - 24 Years,20800
1977,Total Male Malays,25 - 29 Years,14800
1977,Total Male Malays,30 - 34 Years,9400
1977,Total Male Malays,35 - 39 Years,8000
1977,Total Male Malays,40 - 44 Years,8000
1977,Total Male Malays,45 - 49 Years,7400
1977,Total Male Malays,50 - 54 Years,7100
1977,Total Male Malays,55 - 59 Years,5300
1977,Total Male Malays,60 - 64 Years,2900
1977,Total Male Malays,65 - 69 Years,2200
1977,Total Male Malays,70 - 74 Years,na
1977,Total Male Malays,75 - 79 Years,na
1977,Total Male Malays,80 - 84 Years,na
1977,Total Male Malays,65 Years & Over,4200
1977,Total Male Malays,70 Years & Over,2000
1977,Total Male Malays,75 Years & Over,na
1977,Total Male Malays,80 Years & Over,na
1977,Total Male Malays,85 Years & Over,na
1977,Total Female Malays,0  -  4 Years,15400
1977,Total Female Malays,5  -  9 Years,18100
1977,Total Female Malays,10 - 14 Years,24600
1977,Total Female Malays,15 - 19 Years,24000
1977,Total Female Malays,20 - 24 Years,19500
1977,Total Female Malays,25 - 29 Years,14600
1977,Total Female Malays,30 - 34 Years,9500
1977,Total Female Malays,35 - 39 Years,8900
1977,Total Female Malays,40 - 44 Years,8500
1977,Total Female Malays,45 - 49 Years,7000
1977,Total Female Malays,50 - 54 Years,5200
1977,Total Female Malays,55 - 59 Years,3800
1977,Total Female Malays,60 - 64 Years,2400
1977,Total Female Malays,65 - 69 Years,1900
1977,Total Female Malays,70 - 74 Years,na
1977,Total Female Malays,75 - 79 Years,na
1977,Total Female Malays,80 - 84 Years,na
1977,Total Female Malays,65 Years & Over,3600
1977,Total Female Malays,70 Years & Over,1700
1977,Total Female Malays,75 Years & Over,na
1977,Total Female Malays,80 Years & Over,na
1977,Total Female Malays,85 Years & Over,na
1977,Total Chinese,0  -  4 Years,166200
1977,Total Chinese,5  -  9 Years,168900
1977,Total Chinese,10 - 14 Years,197400
1977,Total Chinese,15 - 19 Years,222300
1977,Total Chinese,20 - 24 Years,210700
1977,Total Chinese,25 - 29 Years,181100
1977,Total Chinese,30 - 34 Years,119100
1977,Total Chinese,35 - 39 Years,112400
1977,Total Chinese,40 - 44 Years,86900
1977,Total Chinese,45 - 49 Years,75800
1977,Total Chinese,50 - 54 Years,58200
1977,Total Chinese,55 - 59 Years,51200
1977,Total Chinese,60 - 64 Years,47100
1977,Total Chinese,65 - 69 Years,39500
1977,Total Chinese,70 - 74 Years,na
1977,Total Chinese,75 - 79 Years,na
1977,Total Chinese,80 - 84 Years,na
1977,Total Chinese,65 Years & Over,88000
1977,Total Chinese,70 Years & Over,48500
1977,Total Chinese,75 Years & Over,na
1977,Total Chinese,80 Years & Over,na
1977,Total Chinese,85 Years & Over,na
1977,Total Male Chinese,0  -  4 Years,86100
1977,Total Male Chinese,5  -  9 Years,87300
1977,Total Male Chinese,10 - 14 Years,101500
1977,Total Male Chinese,15 - 19 Years,114500
1977,Total Male Chinese,20 - 24 Years,107600
1977,Total Male Chinese,25 - 29 Years,92100
1977,Total Male Chinese,30 - 34 Years,60300
1977,Total Male Chinese,35 - 39 Years,56300
1977,Total Male Chinese,40 - 44 Years,43900
1977,Total Male Chinese,45 - 49 Years,37400
1977,Total Male Chinese,50 - 54 Years,28200
1977,Total Male Chinese,55 - 59 Years,24100
1977,Total Male Chinese,60 - 64 Years,22000
1977,Total Male Chinese,65 - 69 Years,18600
1977,Total Male Chinese,70 - 74 Years,na
1977,Total Male Chinese,75 - 79 Years,na
1977,Total Male Chinese,80 - 84 Years,na
1977,Total Male Chinese,65 Years & Over,38000
1977,Total Male Chinese,70 Years & Over,19400
1977,Total Male Chinese,75 Years & Over,na
1977,Total Male Chinese,80 Years & Over,na
1977,Total Male Chinese,85 Years & Over,na
1977,Total Female Chinese,0  -  4 Years,80100
1977,Total Female Chinese,5  -  9 Years,81600
1977,Total Female Chinese,10 - 14 Years,95900
1977,Total Female Chinese,15 - 19 Years,107800
1977,Total Female Chinese,20 - 24 Years,103100
1977,Total Female Chinese,25 - 29 Years,89000
1977,Total Female Chinese,30 - 34 Years,58800
1977,Total Female Chinese,35 - 39 Years,56100
1977,Total Female Chinese,40 - 44 Years,43000
1977,Total Female Chinese,45 - 49 Years,38400
1977,Total Female Chinese,50 - 54 Years,30000
1977,Total Female Chinese,55 - 59 Years,27100
1977,Total Female Chinese,60 - 64 Years,25100
1977,Total Female Chinese,65 - 69 Years,20900
1977,Total Female Chinese,70 - 74 Years,na
1977,Total Female Chinese,75 - 79 Years,na
1977,Total Female Chinese,80 - 84 Years,na
1977,Total Female Chinese,65 Years & Over,50000
1977,Total Female Chinese,70 Years & Over,29100
1977,Total Female Chinese,75 Years & Over,na
1977,Total Female Chinese,80 Years & Over,na
1977,Total Female Chinese,85 Years & Over,na
1977,Total Indians,0  -  4 Years,11600
1977,Total Indians,5  -  9 Years,14000
1977,Total Indians,10 - 14 Years,18200
1977,Total Indians,15 - 19 Years,19900
1977,Total Indians,20 - 24 Years,16900
1977,Total Indians,25 - 29 Years,13300
1977,Total Indians,30 - 34 Years,8400
1977,Total Indians,35 - 39 Years,9000
1977,Total Indians,40 - 44 Years,8200
1977,Total Indians,45 - 49 Years,9600
1977,Total Indians,50 - 54 Years,8600
1977,Total Indians,55 - 59 Years,6400
1977,Total Indians,60 - 64 Years,3800
1977,Total Indians,65 - 69 Years,2200
1977,Total Indians,70 - 74 Years,na
1977,Total Indians,75 - 79 Years,na
1977,Total Indians,80 - 84 Years,na
1977,Total Indians,65 Years & Over,4000
1977,Total Indians,70 Years & Over,1800
1977,Total Indians,75 Years & Over,na
1977,Total Indians,80 Years & Over,na
1977,Total Indians,85 Years & Over,na
1977,Total Male Indians,0  -  4 Years,5900
1977,Total Male Indians,5  -  9 Years,7200
1977,Total Male Indians,10 - 14 Years,9300
1977,Total Male Indians,15 - 19 Years,10800
1977,Total Male Indians,20 - 24 Years,9000
1977,Total Male Indians,25 - 29 Years,7000
1977,Total Male Indians,30 - 34 Years,4500
1977,Total Male Indians,35 - 39 Years,4900
1977,Total Male Indians,40 - 44 Years,4700
1977,Total Male Indians,45 - 49 Years,6900
1977,Total Male Indians,50 - 54 Years,6600
1977,Total Male Indians,55 - 59 Years,5100
1977,Total Male Indians,60 - 64 Years,3000
1977,Total Male Indians,65 - 69 Years,1700
1977,Total Male Indians,70 - 74 Years,na
1977,Total Male Indians,75 - 79 Years,na
1977,Total Male Indians,80 - 84 Years,na
1977,Total Male Indians,65 Years & Over,3000
1977,Total Male Indians,70 Years & Over,1300
1977,Total Male Indians,75 Years & Over,na
1977,Total Male Indians,80 Years & Over,na
1977,Total Male Indians,85 Years & Over,na
1977,Total Female Indians,0  -  4 Years,5700
1977,Total Female Indians,5  -  9 Years,6800
1977,Total Female Indians,10 - 14 Years,8900
1977,Total Female Indians,15 - 19 Years,9100
1977,Total Female Indians,20 - 24 Years,7900
1977,Total Female Indians,25 - 29 Years,6300
1977,Total Female Indians,30 - 34 Years,3900
1977,Total Female Indians,35 - 39 Years,4100
1977,Total Female Indians,40 - 44 Years,3500
1977,Total Female Indians,45 - 49 Years,2700
1977,Total Female Indians,50 - 54 Years,2000
1977,Total Female Indians,55 - 59 Years,1300
1977,Total Female Indians,60 - 64 Years,800
1977,Total Female Indians,65 - 69 Years,500
1977,Total Female Indians,70 - 74 Years,na
1977,Total Female Indians,75 - 79 Years,na
1977,Total Female Indians,80 - 84 Years,na
1977,Total Female Indians,65 Years & Over,1000
1977,Total Female Indians,70 Years & Over,500
1977,Total Female Indians,75 Years & Over,na
1977,Total Female Indians,80 Years & Over,na
1977,Total Female Indians,85 Years & Over,na
1977,Other Ethnic Groups (Total),0  -  4 Years,5300
1977,Other Ethnic Groups (Total),5  -  9 Years,4700
1977,Other Ethnic Groups (Total),10 - 14 Years,3900
1977,Other Ethnic Groups (Total),15 - 19 Years,4000
1977,Other Ethnic Groups (Total),20 - 24 Years,4100
1977,Other Ethnic Groups (Total),25 - 29 Years,5200
1977,Other Ethnic Groups (Total),30 - 34 Years,4800
1977,Other Ethnic Groups (Total),35 - 39 Years,4000
1977,Other Ethnic Groups (Total),40 - 44 Years,3100
1977,Other Ethnic Groups (Total),45 - 49 Years,2600
1977,Other Ethnic Groups (Total),50 - 54 Years,2000
1977,Other Ethnic Groups (Total),55 - 59 Years,1500
1977,Other Ethnic Groups (Total),60 - 64 Years,900
1977,Other Ethnic Groups (Total),65 - 69 Years,500
1977,Other Ethnic Groups (Total),70 - 74 Years,na
1977,Other Ethnic Groups (Total),75 - 79 Years,na
1977,Other Ethnic Groups (Total),80 - 84 Years,na
1977,Other Ethnic Groups (Total),65 Years & Over,1300
1977,Other Ethnic Groups (Total),70 Years & Over,800
1977,Other Ethnic Groups (Total),75 Years & Over,na
1977,Other Ethnic Groups (Total),80 Years & Over,na
1977,Other Ethnic Groups (Total),85 Years & Over,na
1977,Other Ethnic Groups (Males),0  -  4 Years,2700
1977,Other Ethnic Groups (Males),5  -  9 Years,2400
1977,Other Ethnic Groups (Males),10 - 14 Years,1900
1977,Other Ethnic Groups (Males),15 - 19 Years,1800
1977,Other Ethnic Groups (Males),20 - 24 Years,1800
1977,Other Ethnic Groups (Males),25 - 29 Years,2600
1977,Other Ethnic Groups (Males),30 - 34 Years,2600
1977,Other Ethnic Groups (Males),35 - 39 Years,2200
1977,Other Ethnic Groups (Males),40 - 44 Years,1800
1977,Other Ethnic Groups (Males),45 - 49 Years,1500
1977,Other Ethnic Groups (Males),50 - 54 Years,1200
1977,Other Ethnic Groups (Males),55 - 59 Years,900
1977,Other Ethnic Groups (Males),60 - 64 Years,500
1977,Other Ethnic Groups (Males),65 - 69 Years,300
1977,Other Ethnic Groups (Males),70 - 74 Years,na
1977,Other Ethnic Groups (Males),75 - 79 Years,na
1977,Other Ethnic Groups (Males),80 - 84 Years,na
1977,Other Ethnic Groups (Males),65 Years & Over,600
1977,Other Ethnic Groups (Males),70 Years & Over,300
1977,Other Ethnic Groups (Males),75 Years & Over,na
1977,Other Ethnic Groups (Males),80 Years & Over,na
1977,Other Ethnic Groups (Males),85 Years & Over,na
1977,Other Ethnic Groups (Females),0  -  4 Years,2600
1977,Other Ethnic Groups (Females),5  -  9 Years,2300
1977,Other Ethnic Groups (Females),10 - 14 Years,2000
1977,Other Ethnic Groups (Females),15 - 19 Years,2200
1977,Other Ethnic Groups (Females),20 - 24 Years,2300
1977,Other Ethnic Groups (Females),25 - 29 Years,2600
1977,Other Ethnic Groups (Females),30 - 34 Years,2200
1977,Other Ethnic Groups (Females),35 - 39 Years,1800
1977,Other Ethnic Groups (Females),40 - 44 Years,1300
1977,Other Ethnic Groups (Females),45 - 49 Years,1100
1977,Other Ethnic Groups (Females),50 - 54 Years,800
1977,Other Ethnic Groups (Females),55 - 59 Years,600
1977,Other Ethnic Groups (Females),60 - 64 Years,400
1977,Other Ethnic Groups (Females),65 - 69 Years,200
1977,Other Ethnic Groups (Females),70 - 74 Years,na
1977,Other Ethnic Groups (Females),75 - 79 Years,na
1977,Other Ethnic Groups (Females),80 - 84 Years,na
1977,Other Ethnic Groups (Females),65 Years & Over,700
1977,Other Ethnic Groups (Females),70 Years & Over,500
1977,Other Ethnic Groups (Females),75 Years & Over,na
1977,Other Ethnic Groups (Females),80 Years & Over,na
1977,Other Ethnic Groups (Females),85 Years & Over,na
1978,Total Residents,0  -  4 Years,204200
1978,Total Residents,5  -  9 Years,225200
1978,Total Residents,10 - 14 Years,259500
1978,Total Residents,15 - 19 Years,295900
1978,Total Residents,20 - 24 Years,281400
1978,Total Residents,25 - 29 Years,236700
1978,Total Residents,30 - 34 Years,169400
1978,Total Residents,35 - 39 Years,143000
1978,Total Residents,40 - 44 Years,117100
1978,Total Residents,45 - 49 Years,103800
1978,Total Residents,50 - 54 Years,84500
1978,Total Residents,55 - 59 Years,69600
1978,Total Residents,60 - 64 Years,57400
1978,Total Residents,65 - 69 Years,47900
1978,Total Residents,70 - 74 Years,na
1978,Total Residents,75 - 79 Years,na
1978,Total Residents,80 - 84 Years,na
1978,Total Residents,65 Years & Over,105900
1978,Total Residents,70 Years & Over,58000
1978,Total Residents,75 Years & Over,na
1978,Total Residents,80 Years & Over,na
1978,Total Residents,85 Years & Over,na
1978,Total Male Residents,0  -  4 Years,105800
1978,Total Male Residents,5  -  9 Years,116200
1978,Total Male Residents,10 - 14 Years,133300
1978,Total Male Residents,15 - 19 Years,153000
1978,Total Male Residents,20 - 24 Years,144400
1978,Total Male Residents,25 - 29 Years,120700
1978,Total Male Residents,30 - 34 Years,86000
1978,Total Male Residents,35 - 39 Years,71700
1978,Total Male Residents,40 - 44 Years,59600
1978,Total Male Residents,45 - 49 Years,53800
1978,Total Male Residents,50 - 54 Years,44500
1978,Total Male Residents,55 - 59 Years,36100
1978,Total Male Residents,60 - 64 Years,28600
1978,Total Male Residents,65 - 69 Years,23300
1978,Total Male Residents,70 - 74 Years,na
1978,Total Male Residents,75 - 79 Years,na
1978,Total Male Residents,80 - 84 Years,na
1978,Total Male Residents,65 Years & Over,47700
1978,Total Male Residents,70 Years & Over,24400
1978,Total Male Residents,75 Years & Over,na
1978,Total Male Residents,80 Years & Over,na
1978,Total Male Residents,85 Years & Over,na
1978,Total Female Residents,0  -  4 Years,98400
1978,Total Female Residents,5  -  9 Years,109000
1978,Total Female Residents,10 - 14 Years,126200
1978,Total Female Residents,15 - 19 Years,142900
1978,Total Female Residents,20 - 24 Years,137000
1978,Total Female Residents,25 - 29 Years,116000
1978,Total Female Residents,30 - 34 Years,83400
1978,Total Female Residents,35 - 39 Years,71300
1978,Total Female Residents,40 - 44 Years,57500
1978,Total Female Residents,45 - 49 Years,50000
1978,Total Female Residents,50 - 54 Years,40000
1978,Total Female Residents,55 - 59 Years,33500
1978,Total Female Residents,60 - 64 Years,28800
1978,Total Female Residents,65 - 69 Years,24600
1978,Total Female Residents,70 - 74 Years,na
1978,Total Female Residents,75 - 79 Years,na
1978,Total Female Residents,80 - 84 Years,na
1978,Total Female Residents,65 Years & Over,58200
1978,Total Female Residents,70 Years & Over,33600
1978,Total Female Residents,75 Years & Over,na
1978,Total Female Residents,80 Years & Over,na
1978,Total Female Residents,85 Years & Over,na
1978,Total Malays,0  -  4 Years,30800
1978,Total Malays,5  -  9 Years,35700
1978,Total Malays,10 - 14 Years,47700
1978,Total Malays,15 - 19 Years,51600
1978,Total Malays,20 - 24 Years,42600
1978,Total Malays,25 - 29 Years,30900
1978,Total Malays,30 - 34 Years,21100
1978,Total Malays,35 - 39 Years,16500
1978,Total Malays,40 - 44 Years,16600
1978,Total Malays,45 - 49 Years,14200
1978,Total Malays,50 - 54 Years,12600
1978,Total Malays,55 - 59 Years,9700
1978,Total Malays,60 - 64 Years,5700
1978,Total Malays,65 - 69 Years,4300
1978,Total Malays,70 - 74 Years,na
1978,Total Malays,75 - 79 Years,na
1978,Total Malays,80 - 84 Years,na
1978,Total Malays,65 Years & Over,8400
1978,Total Malays,70 Years & Over,4100
1978,Total Malays,75 Years & Over,na
1978,Total Malays,80 Years & Over,na
1978,Total Malays,85 Years & Over,na
1978,Total Male Malays,0  -  4 Years,16000
1978,Total Male Malays,5  -  9 Years,18200
1978,Total Male Malays,10 - 14 Years,24200
1978,Total Male Malays,15 - 19 Years,27200
1978,Total Male Malays,20 - 24 Years,22200
1978,Total Male Malays,25 - 29 Years,15700
1978,Total Male Malays,30 - 34 Years,10600
1978,Total Male Malays,35 - 39 Years,7700
1978,Total Male Malays,40 - 44 Years,8000
1978,Total Male Malays,45 - 49 Years,7200
1978,Total Male Malays,50 - 54 Years,7200
1978,Total Male Malays,55 - 59 Years,5700
1978,Total Male Malays,60 - 64 Years,3200
1978,Total Male Malays,65 - 69 Years,2300
